"Table 2: Population Distribution by Sex, Number of Households, Area , Density  and Administrative Units",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 8,Unnamed: 9,Unnamed: 11
,Male,Female,Total,Households,Area in Sq. Km.,Density,,,
                    USIRE,1570,1550,3120,720,23.68,131.75,,,
            NYANG'OMA,21070,22283,43353,10360,187.91,230.71,,,
                CENTRAL SAKWA,12517,13094,25611,5953,115.35,222.03,,,
                    NDEDA/OYAMO,1594,1448,3042,813,1.71,1782.49,,,
                    NYANG'OMA,4391,4605,8996,2098,49.07,183.33,,,
                    UYAWI,3901,4154,8055,1736,34.46,233.77,,,
                    WEST MIGWENA,2631,2887,5518,1306,30.11,183.23,,,
                SOUTH SAKWA,8553,9189,17742,4407,72.56,244.51,,,
                    EAST MIGWENA,1775,1844,3619,865,24.63,146.95,,,
                    GOT ABIERO,2353,2648,5001,1252,25.98,192.46,,,
                    NYAGUDA,4425,4697,9122,2290,21.95,415.59,,,
            USIGU,27364,28328,55692,13384,199.23,279.54,,,
                CENTRAL YIMBO,3984,4233,8217,1891,55.48,148.11,,,
                    GOT RAMOGI,1658,1773,3431,791,30.93,110.94,,,
                    USIGU,2326,2460,4786,1100,24.55,194.94,,,
                EAST YIMBO,4535,4824,9359,2091,51.3,182.42,,,
                    OTHACH,2437,2645,5082,1136,30.24,168.07,,,
                    PALA,2098,2179,4277,955,21.07,203.02,,,
                MAGETA ISLAND,3502,3295,6797,1743,7.02,968.27,,,
                    MAHANGA,2433,2190,4623,1211,5.76,802.9,,,
                    MITUNDU,1069,1105,2174,532,1.26,1722.94,,,
                NORTH YIMBO,4653,4960,9613,2179,52.16,184.29,,,
                    BARKANYANGO,1211,1141,2352,536,17,138.32,,,
                    NYAMONYE,3442,3819,7261,1643,35.16,206.52,,,
                WEST YIMBO,10690,11016,21706,5480,33.26,652.54,,,
                    GOT AGULU,2726,2779,5505,1338,13.5,407.78,,,
                    USENGE,7964,8237,16201,4142,19.76,819.72,,,
        RARIEDA,64473,70085,134558,31033,403.35,333.6,,,
            RARIEDA,31289,34669,65958,15350,179.45,367.55,,,
                CENTRAL ASEMBO,10547,12073,22620,5233,52.4,431.68,,,
                    MEMBA,3840,4640,8480,1848,19.85,427.19,,,
                    RAMBA NORTH,4445,4806,9251,2282,19.52,473.95,,,
                    RAMBA SOUTH,2262,2627,4889,1103,13.03,375.19,,,
                EAST ASEMBO,8929,9817,18746,4485,45.94,408.01,,,
                    OMIA DIERE,3022,3293,6315,1544,13.55,466.07,,,
                    OMIA MALO,3578,4020,7598,1792,19.7,385.67,,,
                    OMIA MWALO,2329,2504,4833,1149,12.69,380.73,,,
                SOUTH ASEMBO,5145,5521,10666,2407,39.58,269.46,,,
                    AKOM,1600,1770,3370,770,14.34,234.94,,,
                    NYAGOKO,3545,3751,7296,1637,25.24,289.07,,,
                WEST ASEMBO,6668,7258,13926,3225,41.52,335.37,,,
                    SIGER,4677,5110,9787,2285,29.52,331.55,,,
                    MAHAYA,1991,2148,4139,940,12.01,344.76,,,
            MADIANY,33184,35416,68600,15683,223.9,306.39,,,
                CENTRAL UYOMA,6640,7190,13830,3145,45.32,305.17,,,
                    KOBONG,2271,2493,4764,1070,12.92,368.81,,,
                    MASALA,2845,3119,5964,1376,19.29,309.23,,,
                    RACHAR,1524,1578,3102,699,13.11,236.52,,,
                EAST UYOMA,7562,7719,15281,3351,54.65,279.63,,,
                    EAST KATWENGA,2013,2090,4103,907,16.84,243.59,,,
                    WEST KATWENGA,1692,1821,3513,771,13.15,267.21,,,
                    OCHIENG'A,2213,2149,4362,921,16.44,265.27,,,
                    RAGENG'NI,1644,1659,3303,752,8.21,402.17,,,
                SOUTH UYOMA,9337,10199,19536,4571,57.83,337.85,,,
                    LIETA,2768,3120,5888,1315,22.67,259.75,,,
                    NAYA,3818,4191,8009,1972,16.06,498.61,,,
                    NDIGWA,2751,2888,5639,1284,19.09,295.32,,,
                WEST UYOMA,9645,10308,19953,4616,66.1,301.84,,,
                    KAGWA,3214,3439,6653,1501,13.57,490.31,,,
                    KOKWIRI,3120,3402,6522,1472,20.06,325.07,,,
                    NYABERA,3311,3467,6778,1643,32.47,208.73,,,
        KISUMU EAST,235676,237973,473649,115502,559.2,847.01,,,
            WINAM,206424,205899,412323,102508,394.38,1045.5,,,
                TOWN,20344,20987,41331,10162,15.85,2608.41,,,
                    KALOLENI,6933,7873,14806,3658,2.1,7036.07,,,
                    SOUTHERN,4729,4434,9163,2476,5.21,1759.81,,,
                    NORTHERN,4804,4935,9739,2107,1.31,7439.46,,,
                    BANDARI,3878,3745,7623,1921,7.23,1055.07,,,
                KONDELE,40211,42366,82577,21419,5.59,14760.39,,,
                    MANYATTA 'A',23503,24501,48004,12525,2.36,20333.79,,,
                    NYAWITA,7526,7221,14747,4099,1.31,11281.36,,,
                    MIGOSI,9182,10644,19826,4795,1.93,10291.2,,,
                KOLWA CENTRAL,15632,16107,31739,7611,34.11,930.43,,,
                    KASULE,9550,9702,19252,4880,17.49,1101.03,,,
                    NYALUNYA,6082,6405,12487,2731,16.63,751.02,,,
                KOLWA WEST,45237,43414,88651,24439,10.41,8517.26,,,
                    NYALENDA 'B',16189,16241,32430,8561,4.71,6886.37,,,
                    NYALENDA 'A',14829,13440,28269,8070,3.16,8952.69,,,
                    MANYATTA 'B',14219,13733,27952,7808,2.54,10998.23,,,
                KOLWA EAST,10307,10981,21288,4603,57.75,368.61,,,
                    BUOYE,2746,3043,5789,1230,23.74,243.86,,,
                    MAYENYA,2720,2903,5623,1205,11.92,471.76,,,
                    CHIGA,4841,5035,9876,2168,22.09,447.02,,,
                KISUMU SOUTH WEST,10666,11460,22126,4958,50.43,438.74,,,
                    OJOLA,4001,4322,8323,1823,16.68,499.13,,,
                    OSIRI,3428,3846,7274,1681,16.31,445.9,,,
                    KANYAWEGI,3237,3292,6529,1454,17.44,374.31,,,
                KISUMU CENTRAL,10482,8021,18503,3773,18.52,998.98,,,
                    K0RANDO 'A',7366,4691,12057,2406,10.47,1151.87,,,
                    KORANDO'B',3116,3330,6446,1367,8.05,800.3,,,
                KISUMU EAST,19806,19129,38935,10211,29.42,1323.39,,,
